"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"200051","0","ESMEE FAIRBAIRN FOUNDATION","ESMEE FAIRBAIRN FOUNDATION, 6th FLOOR, 210 PENTONVILLE ROAD, LONDON","N1 9JY","Islington South and Finsbury","02078123700","info@esmeefairbairn.org.uk","www.esmeefairbairn.org.uk","31/12/2024","9483000","56416000","Registered","Other","Makes Grants To Organisations, Provides Other Finance, Provides Buildings/facilities/open Space","General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","We are one of the largest independent foundations in the UK.  Our primary interests are in the arts, children and young people, the environment and social change.","TO FURTHER SUCH CHARITABLE PURPOSE OR PURPOSES AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION SHALL THINK FIT."
"200069","0","Richmond Foundation","RICHMOND FOUNDATION, THE VESTRY HOUSE, 21 PARADISE ROAD, RICHMOND","TW9 1SA","Richmond Park","020 8948 5701","finance@richmondfoundation.org.uk","www.richmondfoundation.org.uk","30/06/2024","2603309","3915611","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","Richmond Foundation administers a royal gift made in 1786 to help the community in Richmond. Through grant-giving, education support and charitable housing we seek to improve the quality of life of disadvantaged people within our benefit area","(1) THE OBJECT OF THE CHARITY SHALL BE TO FURTHER ALL OR ANY OF THE FOLLOWING PURPOSES:-
(1) THE RELIEF OF THE INHABITANTS OF THE LONDON BOROUGH OF RICHMOND UPON THAMES (THE INHABITANTS OF THE SAID LONDON BOROUGH BEING HEREINAFTER REFERRED TO AS “THE SAID INHABITANTS”) WHO ARE POOR OR OTHERWISE IN NEED BY REASON OF THEIR YOUTH, AGE, ILL-HEALTH, DISABILITY, FINANCIAL HARDSHIP OR OTHER DISADVANTAGE;
(2) THE RELIEF OF DISTRESS AND SICKNESS AMONG THE SAID INHABITANTS;
(3) THE PROVISION AND SUPPORT (WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS IN THE INTERESTS OF SOCIAL WELFARE) OF FACILITIES FOR RECREATION OR OTHER LEISURE-TIME OCCUPATION;
(4) THE PROVISION AND SUPPORT OF EDUCATIONAL FACILITIES FOR THE SAID INHABITANTS;
(5) ANY OTHER CHARITABLE PURPOSES (WHETHER OR NOT OF A NATURE SIMILAR TO ANY OF THOSE HEREINBEFORE SPECIFIED) FOR THE BENEFIT OF THE SAID INHABITANTS.
(2) THE TRUSTEES MAY APPROPRIATE THE LAND AND BUILDINGS BELONGING TO THE CHARITY OR ANY PART THEREOF FOR USE FOR ANY PURPOSE WITHIN THE OBJECT OF THE CHARITY."
"200198","0","THE 29TH MAY 1961 CHARITY","One Eastwood, Binley Business Park, Coventry","CV3 2UB","Coventry East","02476221046","enquiries@29may1961charity.org.uk","www.29may1961charity.org.uk","31/03/2024","6307930","6307930","Registered","Trust","Makes Grants To Organisations","General Charitable Purposes","Other Charities Or Voluntary Bodies","The Charity is a general grant making Trust","SUCH CHARITABLE PURPOSES AS THE TRUSTEES IN THEIR DISCRETION DETERMINE"
"201476","0","ST. JOHN'S FOUNDATION EST. 1174","St. Johns Foundation Est 1174, 4-5 Chapel Court, Bath","BA1 1SQ","Bath","01225486400","governance@stjohnsbath.org.uk","www.stjohnsbath.org.uk","31/12/2023","5711000","6794000","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Buildings/facilities/open Space, Provides Services, Acts As An Umbrella Or Resource Body","The Prevention Or Relief Of Poverty, Accommodation/housing, Economic/community Development/employment","Children/young People, Elderly/old People, Other Charities Or Voluntary Bodies, The General Public/mankind","The provision of almshouse accommodation for people resident in Bath and the surrounding area who are over 65 years of age and who are in financial need as well as providing grants and financial support to individuals and organisations within the Bath area for those in need.","1.    THE PROVISION OF ALMSHOUSES FOR PERSONS RESIDENT IN THE CITY OF BATH OR THE SURROUNDING AREA WHO ARE AGED 65 YEARS AND OVER AND WHO ARE IN NEED BY REASON OF FINANCIAL HARDSHIP; AND 
 
2.    THE RELIEF OF PERSONS RESIDENT IN THE CITY OF BATH OR THE SURROUNDING AREA WHO ARE IN NEED BY REASON OF AGE, ILL-HEALTH, DISABILITY, FINANCIAL HARDSHIP OR OTHER DISADVANTAGE."
"205629","0","TRUST FOR LONDON","Trust for London, 4 Chiswell Street, LONDON","EC1Y 4UP","Islington South and Finsbury","02076066145","info@trustforlondon.org.uk","www.trustforlondon.org.uk","31/12/2024","9978639","19881100","Registered","Other","Makes Grants To Organisations, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","The Prevention Or Relief Of Poverty, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","We are a charitable organisation that exists to reduce poverty and inequality in London. We do this by funding the voluntary and community sector and others, as well as by using our own expertise and knowledge to support work that tackles poverty and its root causes.","THE OBJECTS OF THE CHARITY ARE:
(1) FOR THE CENTRAL FUND: ANY CHARITABLE PURPOSES, OTHER THAN THE ADVANCEMENT OF RELIGION, WHICH ARE DIRECTED TO THE BENEFIT OF POOR INHABITANTS IN THE AREA OF BENEFIT; AND 
(2) FOR THE CITY CHURCH FUND: THE ADVANCEMENT OF RELIGION BY
(A) THE REPAIR, RESTORATION OR PRESERVATION OF THE FABRIC AND CONTENTS OF THE CHURCHES AND THE MAINTENANCE OF SERVICES THEREIN;
(B) THE AUGMENTATION OF CLERICAL STIPENDS;
(C) GIVING THEOLOGICAL INSTRUCTION TO PERSONS PREPARING FOR HOLY ORDERS;
(D) EXTENDING THE BENEFIT OF CLERICAL OR SPIRITUAL MINISTRATIONS IN ACCORDANCE WITH THE DOCTRINES OR BY THE MINISTERS OF THE CHURCH OF ENGLAND AS BY THE LAW ESTABLISHED IN THE AREA OF BENEFIT."
"205798","0","SMALLWOOD TRUST","Smallwood Trust, 25 Hornyold Road, MALVERN","WR14 1QQ","West Worcestershire","01684574645","info@smallwoodtrust.org.uk","www.smallwoodtrust.org.uk","31/12/2023","2071429","3870525","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","The Prevention Or Relief Of Poverty","Other Defined Groups","The Smallwood Trust's mission is to enable women to be financially resilient. Our funding is allocated under three main programmes: 1) grants to women-led and women focused third sector organisations 2) grants and support to individuals in need and 3) funding to amplify policy issues and solutions to gender poverty","THE INCOME OF THE CHARITY SHALL BE APPLIED BY THE COMMITTEE FOR THE BENEFIT OF LADIES IN REDUCED CIRCUMSTANCES IN SUCH WAY OR WAYS AS THE COMMITTEE CONSIDER MOST ADVANTAGEOUS TO THE RECIPIENTS"
"205959","0","CHARITY OF RICHARD CLOUDESLEY","200a Pentonville Road, 2nd floor, London","N1 9JP","Islington South and Finsbury","0207 832 5802","info@cloudesley.org.uk","www.cloudesley.org.uk","30/06/2024","1747000","3257000","Registered","Other","Makes Grants To Organisations","The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups","The Charity's area of benefit is the London Borough of Islington where, through programmes of pro-active grant-making, the Charity's aim is to help those who are sick and poor and to support twenty seven Church of England churches.","FOR THE PURPOSE OF RELIEVING IN CASES OF NEED PERSONS RESIDENT IN THE AREA OF THE LONDON BOROUGH OF ISLINGTON WHO ARE SICK, CONVALESCENT, DISABLED, HANDICAPPED OR INFIRM BY PROVIDING OR PAYING FOR ITEMS, SERVICES OR FACILITIES WHICH ARE CALCULATED TO ALLEVIATE THE SUFFERING OR ASSIST THE RECOVERY OF SUCH PERSONS IN SUCH CASES BUT ARE NOT READILY AVAILABLE TO THEM FROM OTHER SOURCES (FOR FULL DETAILS, SEE CLAUSES 26-30 INCLUSIVE OF 1980 SCHEME)."
"206123","0","ROYAL COMMISSION FOR THE EXHIBITION OF 1851","453 SHERFIELD BUILDING, IMPERIAL COLLEGE, LONDON","SW7 2AZ","Cities of London and Westminster","02075948790","royalcom1851@imperial.ac.uk","www.royalcommission1851.org.uk","31/12/2023","2565941","5723796","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","Education/training","Other Charities Or Voluntary Bodies, Other Defined Groups","Awarding Research Fellowships, Industrial Fellowships, Industrial Design Studentships, Fellowships in Design and the Built Environment, Enterprise Fellowships, Technical Teaching Fellowships and Special Awards and administering its South Kensington estate all with the aim to increase the means of industrial education and extend the influence of science and art upon productive industry.","TO INCREASE THE MEANS OF INDUSTRIAL EDUCATION AND TO EXTEND THE INFLUENCE OF SCIENCE AND ART UPON PRODUCTIVE INDUSTRY."
"206601","0","THE NUFFIELD FOUNDATION","100 St. John Street, LONDON","EC1M 4EH","Islington South and Finsbury","0207 631 0566","info@nuffieldfoundation.org","http://www.nuffieldfoundation.org","31/12/2024","12356000","29792000","Registered","Trust","Makes Grants To Organisations, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty","Other Defined Groups","The advancement of social well being, particularly by scientific research. We do this in two ways: by supporting research, enquiry and innovative development that will contribute to the improvement of policy and practice; and by supporting young people to develop their interest in science, technology, engineering and maths (STEM).","1. ADVANCEMENT OF HEALTH AND PREVENTION AND RELIEF OF SICKNESS. 2. ADVANCEMENT OF SOCIAL WELL BEING. 3. ADVANCEMENT OF EDUCATION. 4. CARE AND COMFORT OF THE AGED POOR. 5. THE RELIEF OF THE BLIND; THE RELIEF OF THE PROFOUNDLY DEAF; THE RELIEF OF THOSE WHO ARE BOTH DEAF AND DUMB; THE RELIEF OF CHILDREN SUFFERING FROM PHYSICAL MENTAL OR OTHER HANDICAP. 6. ANY SUCH OTHER CHARITABLE PURPOSES AS DECLARED BY LORD NUFFIELD IN HIS LIFE TIME OR AFTER HIS DEATH, BY ALL THE ORDINARY AND MANAGING TRUSTEES."
"206602","0","THE PILGRIM TRUST","New Wing, Somerset House, Strand, London","WC2R 1LA","Cities of London and Westminster","02078346510","info@thepilgrimtrust.org.uk","www.thepilgrimtrust.org.uk","31/12/2024","1297868","3209373","Registered","Trust","Makes Grants To Organisations","Arts/culture/heritage/science, Environment/conservation/heritage, Other Charitable Purposes","Other Charities Or Voluntary Bodies","The Pilgrim Trust makes grants to other charities and public bodies in the fields of preservation and scholarship and social welfare.  It works within the priorities that are set by the Trustees and funds specific programmes that are outlined on its website.","SUCH CHARITABLE PURPOSES WITHIN GREAT BRITAIN AND NORTHERN IRELAND AS THE TRUSTEES MAY FROM TIME TO TIME DETERMINE."
