"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"200009","0","THE RALPH LEVY CHARITABLE COMPANY LIMITED","1 Hinde Street, LONDON","W1U 2AY","Cities of London and Westminster","02074089333","charity@ralphtrustees.co.uk","","05/04/2024","613560","594903","Registered","Charitable company","Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives","Other Charities Or Voluntary Bodies","In making donations, particular consideration is given to educational and medical charitable bodies.","TO APPLY ANY OF THE INCOME, ASSETS OR PROPERTY OF THE COMPANY TOWARDS CHARITABLE PURPOSES RECOGNISED BY LAW, AND TO PROMOTE, SUPPORT, ASSIST AND ENCOURAGE THE ADVANCEMENT OF KNOWLEDGE IN THE SCIENCE OF MEDICINE."
"200027","0","RURAL MINISTRIES","Rural Ministries, PO Box 293, ROYSTON","SG8 1FS","North East Hertfordshire","01763 878539","office@ruralministries.org.uk","www.ruralministries.org.uk","31/03/2024","801376","339882","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Religious Activities","Other Charities Or Voluntary Bodies, The General Public/mankind","To support rural churches in their growth and development and assist in the planting of new rural churches.","3.1	The objects for which the Charity is established are to initiate, support, organise, maintain, equip, manage, promote or assist in any work in connection with the propagation of the Christian Gospel in accordance with the Basis of Faith, by itself or by or together with any other body or church or person or persons.

3.2	The Basis of Faith as at the date of these Articles is: 

BASIS OF FAITH

We believe: 
1.	That Jesus is the Christ, real, fully human, and fully God. We believe that Jesus came to show us what God is like and what a God honouring life looks like. We accept many people use God-substitutes to give their lives meaning instead of God. We believe that the risen Christ is the only way to God, that people need to turn to God and have their lives restored, and that this is made possible through Jesus’ life, death, and resurrection. We believe God reconciles the whole of creation to himself through Jesus. 

2.	In the one God who communes in three persons – the Father, the Son, and the Holy Spirit, and that all are jointly active in creation, salvation, and in empowering us today.

3.	God created us to be His image bearers and have a relationship with Him. We believe that this relationship has been broken, and cannot be earned, nor is it our right, but rather the gift of God through all who place their hope and trust in Jesus. We believe this is good news, and we are called to help others love Jesus more. We believe that Jesus intercedes for all people today. 

4.	The Holy Spirit is at work in renewal, enabling us to encounter Jesus personally in each believer as they seek to worship and witness in their everyday lives.

5.	The Bible is God’s inspired word, in which we find life, hope and wisdom.

6.	That being a Christian isn’t a thing we do just on Sundays, that Church isn’t something that just happens in a building, and that God’s grace abounds everywhere – sometimes where we least expect it. We believe that Jesus Christ is coming again. We believe Christians need to join in with the mission that Jesus started and bring good news to all people and creation. We believe that Church is part of God’s design, and that discipleship best happens in community.

7.	That resurrection is real, and part of the promise for those that trust Jesus. We believe that heaven and earth will be brought together one day, renewing all things. We believe if people don’t want God (choosing not to receive Jesus), they can choose eternity without Him."
"200103","0","The Barnes Fund","PO BOX 347, Hampton, Middlesex","TW12 9ED","Twickenham","07484146802","executivedirector@thebarnesfund.org.uk","www.thebarnesfund.org.uk","31/12/2024","811383","713857","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","A grant-making charitable trust for the benefit of residents of Barnes, the objects of which are the relief of poverty, relief for the elderly, the relief of distress and sickness, the provision of facilities for recreation and leisure and education. The Walsingham Lodge Trust, a subsidiary charity, houses older Barnes residents who are in need of sheltered accommodation.","THE BENEFIT OF THE INHABITANTS OF THE AREA OF THE ANCIENT PARISH OF BARNES AS FOLLOWS: 1) THE RELIEF OF THE AGED, IMPOTENT AND POOR; 2) THE RELIEF OF DISTRESS AND SICKNESS; 3) THE PROVISION AND SUPPORT (WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS IN THE INTERESTS OF SOCIAL WELFARE) OF FACILITIES FOR RECREATION OF OTHER LEISURE TIME OCCUPATION; 4) THE PROVISION AND SUPPORT OF EDUCATIONAL FACILITIES."
"201892","0","THE SECOND JOSEPH AARON LITTMAN FOUNDATION","Manor Farm, Mill Lane, Charlton Mackrell, Somerton","TA11 7BQ","Glastonbury and Somerton","01458223650","","","05/04/2024","738751","342432","Registered","Trust","Makes Grants To Organisations","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Religious Activities, Other Charitable Purposes","Other Charities Or Voluntary Bodies","Relief of poverty worldwide
Advancement of knowledge worldwide","GENERAL CHARITABLE PURPOSES."
"202118","0","BLANCHMINSTER TRUST","BLANCHMINSTER BUILDING, 38 LANSDOWN ROAD, BUDE, CORNWALL","EX23 8BN","North Cornwall","01288352851","info@blanchminster.org.uk","www.blanchminster.org.uk","31/12/2024","558750","860176","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","To make grants for the relief of local need, promotion of education and aid to local charitable organistations for the benefit of the community","(1) FOR RELIEF IN NEED IN RELIEVING EITHER GENERALLY OR INDIVIDUALLY PERSONS RESIDENT IN THE AREA OF BENEFIT WHO ARE IN CONDITIONS OF NEED, HARDSHIP OR DISTRESS BY MAKING GRANTS OF MONEY OR PROVIDING OR PAYING FOR ITEMS, SERVICES OR FACILITIES CALCULATED TO REDUCE THE NEED, HARDSHIP OF DISTRESS OF SUCH PERSONS (2) THE PROMOTION OF EDUCATION (FOR FURTHER DETAILS, PLEASE SEE CLAUSES 29 TO 32 OF THE 1982 SCHEME)"
"202188","0","THE CHARITY OF WILLIAM WILLIAMS","Kennedy Legg, 10 Prince of Wales Road, DORCHESTER","DT1 1PW","West Dorset","01305264573","enquiries@williamwilliams.org.uk","www.williamwilliams.org.uk","31/12/2024","584030","840104","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities","Grant making charity for the relief of the poor, sick and for educational needs","RELIEVING EITHER GENERALLY OR INDIVIDUALLY PERSONS RESIDENT IN THE AREA OF BENEFIT WHO ARE IN CONDITIONS OF NEED,HARDSHIP OR DISTRESS BY MAKING GRANTS OF MONEY OR PROVIDING OR PAYING FOR ITEMS,SERVICES OR FACILITIES CALCULATED TO REDUCE THE NEED,HARDSHIP OR DISTRESS OF SUCH PERSONS."
"202973","0","THOMAS HICKMAN'S CHARITY","Rickford House, 12 Rickfords Hill, Aylesbury, Bucks","HP20 2RZ","Aylesbury","01296318500","doudjag@pandcllp.co.uk","thomashickmancharity.co.uk","31/12/2023","840862","881472","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, The Prevention Or Relief Of Poverty, Accommodation/housing","Elderly/old People, Other Charities Or Voluntary Bodies, The General Public/mankind","(1) The provision of almshouses for elderly Aylesbury residents and (2) to relieve either generally or individually Aylesbury residents who are in conditions of need, hardship or distress","(1) FOR THE BENEFIT OF THE ALMSPEOPLE OR ANY OF THEM IN SUCH MANNER AS THE TRUSTEES THINK FIT FROM TIME TO TIME. (2) TO RELIEVE EITHER GENERALLY OR INDIVIDUALLY PERSONS RESIDENT IN AYLESBURY WHO ARE IN CONDITIONS OF NEED, HARDSHIP OR DISTRESS."
"203258","0","Old Charity of Thomas Dawson (2024)","St. Clements Centre, Cross Street, OXFORD","OX4 1DA","Oxford East","01865634301","office@cotd.org.uk","","30/11/2023","605132","462729","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","Education/training","Children/young People, Other Charities Or Voluntary Bodies, The General Public/mankind","The object of the Charity is to administer and manage its investments in order that the net income received, each year, after deducting all expenses, be divided between the beneficiaries in the set terms.","ONE HALF OF THE SAID INCOME TO BE APPLIED FOR THE UPKEEP AND REPAIR OF THE FABRIC OF THE PARISH CHURCH OF ST CLEMENT. (SEE SCHEME FOR FULL DETAILS)"
"203367","0","THE HEATHCOAT TRUST","The Heathcoat Trust, The Factory, Westexe, TIVERTON, Devon","EX16 5LL","Tiverton and Minehead","01884244296","heathcoattrust@heathcoat.co.uk","","05/04/2024","930891","871308","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","for the relief of financial hardshipfor education and trainingfor building or making grants to health institutions andin certain circumstances for making contributions to any charity but mostly in Tiverton, Devon, its neighbourhood or in places where the firms John Heathcoat & Co Ltd and Lowman Manufacturing Co Ltd and their subsidiaries carry on business","1. FINANCIAL RELIEF FOR SICKNESS, OLD AGE OR POVERTY IN AREAS DEFINED, PARTICULARLY FOR STAFF, WORKPEOPLE AND THEIR RELATIVES AND DEPENDANTS OF THE COMPANIES. (2) TRAINING AND EDUCATION OF CHILDREN IN AREA DEFINED, PARTICULARLY OF STAFF AND AS IN TRUST DEED WORKPEOPLE OF THE COMPANIES. (3) HOSPITAL ETC WHICH MAY BENEFIT STAFF, WORKPEOPLE OF THE COMPANIES AND THEIR DEPENDANTS AND RELATIVES. (FUR FURTHER DETAILS SEE CLAUSE 2 OF SCHEME)."
"203399","0","DARTMOUTH UNITED CHARITIES","38 Victoria Road, DARTMOUTH","TQ6 9SA","South Devon","01803835006","info@dartmouthunitedcharities.org.uk","www.dartmouthunitedcharities.org.uk","30/04/2024","518764","251570","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space, Other Charitable Activities","The Prevention Or Relief Of Poverty, Accommodation/housing","Other Defined Groups","Dartmouth United Charities provides almshouse accommodation to poor persons of good character, who have lived in Dartmouth for  two years before their appointment, or in exceptional circumstances, live outside the area but are otherwise qualified.
It also makes grants to individuals and to organisations supporting Dartmouth residents who are in need, hardship or distress.","1) FOR THE BENEFIT OF THE RESIDENTS IN THE ALMSHOUSES OF THE CHARITY. 2) RELIEF IN NEED FOR PERSONS RESIDENT IN THE AREA OF BENEFIT."
"204536","0","THE BRIDGE TRUST","First Floor Offices, 4 Bridgeland Street, Bideford, Devon","EX39 2PS","Torridge and Tavistock","01237471888","steward@bidefordbridgetrust.co.uk","www.bidefordbridgetrust.org.uk","31/12/2023","881042","1023710","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","To provide charitable relief within its area of benefit as prescribed by the scheme of the charity, namely Bideford and its immediate neighbourhood. This excludes Barnstaple and Torrington and all areas beyond.","THE TRUSTEES SHALL APPLY THE INCOME OF THE CHARITY FOR THE INHABITANTS OF THE PARISH OF BIDEFORD AND THE NEIGHBOURHOOD."
